module,correlation,p_value,gene_count,module_color,FDR
M04,-0.756230991028608,5.39409408329265e-50,192,#9A86A4,3.23645644997559e-49
M02,0.516001403558707,2.68886142255262e-19,969,#A1887F,8.06658426765786e-19
grey,-0.421509968567387,9.43053520087896e-13,67,#C8C8C8,1.88610704017579e-12
M03,0.0962106342117598,0.119599932437267,364,#7E8F78,0.179399898655901
M01,-0.0520790802046179,0.400275814820852,3266,#78909C,0.459732339263426
M05,0.0457805881367623,0.459732339263426,142,#B08D73,0.459732339263426
