dataset,sample,pair_id,Tissue,module_score,gastric_lineage_deconv_score,broad_epithelial_deconv_score
GSE29272,GSM723646,TYC0020,Normal,-0.112195636861725,-1.07858669554146,-1.85601305879515
GSE29272,GSM723647,TYC0020,Tumor,-0.946252093698616,-0.398841655068436,0.533391866534732
GSE29272,GSM723648,TYC0021,Normal,0.426003448331466,-0.276561772560434,-0.127207670879312
GSE29272,GSM723649,TYC0021,Tumor,-1.2498178389541,-2.04146607546536,-2.8245663705167
GSE29272,GSM723650,TYC0022,Normal,-0.663992939249863,-1.1789417161623,-1.93365558987554
GSE29272,GSM723651,TYC0022,Tumor,-0.869946961425536,-0.381135708818263,0.536591816094454
GSE29272,GSM723652,TYC0023,Normal,0.343300924891497,2.01954328252451,0.453236789239254
GSE29272,GSM723653,TYC0023,Tumor,-1.21384546953533,-1.05084993168245,0.00483045590691751
GSE29272,GSM723654,TYC0024,Normal,-0.649756706164882,-1.81881180663644,-2.67067952553204
GSE29272,GSM723655,TYC0024,Tumor,-0.920641641383613,-0.63130805189621,-0.389877935469033
GSE29272,GSM723656,TYC0025,Normal,0.572569362127532,-0.279315770757851,-1.27053645301587
GSE29272,GSM723657,TYC0025,Tumor,-1.20198516650422,-0.802042138821713,-1.20573936855826
GSE29272,GSM723658,TYC0026,Normal,0.24927533619446,-0.105772364591515,0.160522889005996
GSE29272,GSM723659,TYC0026,Tumor,-1.08246811575335,-0.034129940023971,0.444758729963422
GSE29272,GSM723660,TYC0027,Normal,0.389422385763551,-0.354257705780836,-0.0412024993927392
GSE29272,GSM723661,TYC0027,Tumor,-1.45029172324873,-1.35120141571284,0.51647641146243
GSE29272,GSM723662,TYC0028,Normal,0.910652016345397,-0.341122318938347,-0.334979010142651
GSE29272,GSM723663,TYC0028,Tumor,-1.2210878504465,-0.513321131271264,0.547602017191379
GSE29272,GSM723664,TYC0029,Normal,0.718908211512129,-0.01262259827687,-0.018724473655946
GSE29272,GSM723665,TYC0029,Tumor,-1.13923256390762,-0.258870286227629,-0.169780867351645
GSE29272,GSM723666,TYC0030,Normal,-0.778378030870362,-1.77556642137182,-2.4766388383255
GSE29272,GSM723667,TYC0030,Tumor,-1.007452287518,-0.417039184963564,0.266502112398501
