dataset,paired_patients,module_genes,lineage_celltypes_estimated,identity_lineages_in_composite,lineage_marker_genes_used,unadjusted_tissue_coefficient,unadjusted_tissue_pvalue,adjusted_tissue_coefficient,adjusted_tissue_pvalue,coefficient_attenuation,module_lineage_score_spearman,module_lineage_score_pvalue
GSE29272,134,73,3,2,10,-1.37807743361375,1.50650507944967e-61,-1.30796128481053,1.83465584284629e-56,0.0508796872316196,0.585477233522459,4.71785173560695e-26
GSE79973,10,72,5,4,18,-1.28961606086939,0.00182630430343316,-0.254264240417554,0.395247373433759,0.802837256659053,0.774436090225564,6.1195795164462e-05
GSE19826,12,72,5,4,19,-1.1000128125229,0.00486523531863198,-0.29579348662432,0.227417045978568,0.731099962421426,0.604347826086956,0.00176131153826879
