Patient,Sample,Tissue,Type,n_cells,module_score,module_score_median
P171218,171218N,Normal,CD8+ T,908,-0.0299902865181536,-0.0720615059049166
P171218,171218T,Tumor,CD8+ T,925,-0.0990328083718359,-0.114745885595715
P171218,171218T,Tumor,Innate lymphoid,26,-0.108952855990955,-0.124303563685132
P180116,180116N,Normal,CD8+ T,41,-0.0295857358563738,-0.0531270576932922
P180116,180116T,Tumor,CD8+ T,217,-0.072984148382279,-0.0880118515876533
P180116,180116T,Tumor,Innate lymphoid,84,-0.0904919444084547,-0.102829315118732
P180118,180118N,Normal,CD8+ T,1132,-0.115753990071668,-0.131273790772874
P180118,180118N,Normal,Innate lymphoid,33,-0.120920046604452,-0.131273790772874
P180118,180118T,Tumor,CD8+ T,693,-0.0973119543007653,-0.116368299048093
P180118,180118T,Tumor,Innate lymphoid,75,-0.0978799075289208,-0.112542407182932
P180123,180123N,Normal,CD8+ T,4085,-0.113555426740034,-0.131273790772874
P180123,180123N,Normal,Innate lymphoid,123,-0.10347625106936,-0.114745885595715
P180123,180123T,Tumor,CD8+ T,2866,-0.102867943128679,-0.114745885595715
P180123,180123T,Tumor,Innate lymphoid,75,-0.10578638254068,-0.114745885595715
P180124,180124N,Normal,CD8+ T,3639,-0.092201759826604,-0.114153759457819
P180124,180124N,Normal,Innate lymphoid,145,-0.100648265648707,-0.114745885595715
P180124,180124T,Tumor,CD8+ T,3528,-0.113751557559379,-0.131273790772874
P180124,180124T,Tumor,Innate lymphoid,201,-0.120148388716973,-0.131273790772874
P180129,180129N,Normal,CD8+ T,265,0.0219115979546484,0.00413720692169268
P180129,180129T,Tumor,CD8+ T,530,-0.037135878810503,-0.0640270154064264
P180129,180129T,Tumor,Innate lymphoid,112,-0.0295290572629081,-0.054751592405783
P180308,180308N,Normal,CD8+ T,201,-0.0799250475646718,-0.0883096646242917
P180308,180308T,Tumor,CD8+ T,3448,-0.107998866600031,-0.127761283578258
P180308,180308T,Tumor,Innate lymphoid,636,-0.119438440151665,-0.132089272362835
P180605,180605N,Normal,CD8+ T,51,-0.124484272462,-0.132089272362835
P180605,180605T,Tumor,CD8+ T,448,-0.118293306976588,-0.131273790772874
P180605,180605T,Tumor,Innate lymphoid,162,-0.121057161371094,-0.136225287482324
P180606,180606T,Tumor,CD8+ T,2615,-0.116123303700245,-0.132089272362835
P180606,180606T,Tumor,Innate lymphoid,293,-0.109313328664103,-0.121661325381966
P180608,180608N,Normal,CD8+ T,161,-0.117732646442514,-0.132089272362835
P180608,180608T,Tumor,CD8+ T,1168,-0.0900777193651718,-0.102865866836025
P180608,180608T,Tumor,Innate lymphoid,55,-0.118777471912839,-0.131273790772874
P181019,181019N,Normal,Innate lymphoid,150,-0.123644128390405,-0.138189230559126
P181019,181019N,Normal,CD8+ T,566,-0.127340714570784,-0.148617177539994
P181019,181019T,Tumor,CD8+ T,1028,-0.0823949320038374,-0.101118939605405
P181019,181019T,Tumor,Innate lymphoid,26,-0.0675763503943959,-0.0945728806038246
P181025,181025N,Normal,CD8+ T,205,-0.0921387002998122,-0.1142226536617
P181025,181025N,Normal,Innate lymphoid,87,-0.0910829966106489,-0.109978070967911
P181025,181025T,Tumor,CD8+ T,287,-0.0959296616079106,-0.110932795064105
P181025,181025T,Tumor,Innate lymphoid,28,-0.0719123773632119,-0.107158941702756
P181026,181026N,Normal,CD8+ T,31,-0.108286095430139,-0.12279656943973
P181026,181026T,Tumor,CD8+ T,158,-0.0970758731177399,-0.109978070967911
P181217,181217N,Normal,CD8+ T,25,-0.0397559529739332,-0.0475644267747865
P181217,181217T,Tumor,Innate lymphoid,50,-0.0935529345352468,-0.103193866572841
P181217,181217T,Tumor,CD8+ T,886,-0.0875716280779301,-0.102069794530836
P181227,181227N,Normal,CD8+ T,43,-0.0979178238595106,-0.109821396622069
P181227,181227T,Tumor,CD8+ T,27,-0.0727353665938234,-0.0861873623437137
P190103,190103N,Normal,CD8+ T,23,-0.0997551497360254,-0.131273790772874
P190118,190118T,Tumor,CD8+ T,148,-0.0511591608174776,-0.0676408235506016
P190124,190124N,Normal,CD8+ T,36,-0.0542916488820458,-0.0787245073348956
P190124,190124T,Tumor,CD8+ T,22,-0.0360454343636158,-0.057129314543806
P171012,171012T,Tumor,CD4+ T,293,-0.134003089611977,-0.148617177539994
P171116,171116N,Normal,CD4+ T,66,-0.119884234016145,-0.131681531567854
P171116,171116T,Tumor,CD4+ T,811,-0.0769692789063453,-0.0918536120502614
P171218,171218N,Normal,CD4+ T,133,-0.101375413765292,-0.131273790772874
P171218,171218T,Tumor,CD4+ T,305,-0.115552345845461,-0.132089272362835
P180116,180116T,Tumor,CD4+ T,161,-0.0802173866473138,-0.0995501239870433
P180118,180118N,Normal,CD4+ T,56,-0.11459743890248,-0.131273790772874
