gene,log2FoldChange,padj,status
ASPM,1.3374079196194,0.0234561689219612,Up
PMEPA1,1.2998276121791,0.025580403447718,Up
PXMP2,-1.20442029232836,0.0275437670825587,Down
ADAM28,-1.26061963671144,0.02900810267622,Down
COL10A1,1.33710390892911,0.0390958911912998,Up
FOLR1,-1.30226514785075,0.0393123282329345,Down
FBP2,-1.16829347575373,0.0462144231162152,Down
AADAC,-1.32364336253732,0.0510102808484003,Not significant
CYP2C18,-1.34903903001493,0.0512035385915906,Not significant
ADA,-1.21035543046642,0.05554036907711,Not significant
KCNJ15,-1.21080307512687,0.0623988134458379,Not significant
LUM,1.27347897261194,0.0646931519412878,Not significant
GREM1,1.45999303926493,0.0647574397705552,Not significant
FA2H,-1.34883692989552,0.0654758355683365,Not significant
HOXC6,1.27474939697015,0.0654758355683365,Not significant
HBB,-1.33687714036318,0.0671375848868328,Not significant
LY6E,1.22399079845522,0.113695133095756,Not significant
KLF4,-1.25786311384701,0.126819682166071,Not significant
CTSB,1.14625299605224,0.146812392792617,Not significant
CAMK2N1,1.29247778126119,0.148474075648115,Not significant
HOXC10,1.28243210846269,0.149591589075845,Not significant
COL4A2,1.25347902887687,0.208406714281288,Not significant
C1QB,1.28491645035075,0.224585824867986,Not significant
CKM,-1.22508468802239,0.249038034053267,Not significant
CFD,-1.36445075621642,0.252219610677944,Not significant
TGFBI,1.23967958663433,0.25641526366872,Not significant
CD9,1.26276150565672,0.287402783255897,Not significant
KPNA2,1.20708034791791,0.341238322289283,Not significant
MFAP2,1.17592467304478,0.347901587275248,Not significant
GPR64,-1.17098112733582,0.347901587275248,Not significant
C3,1.28330183697761,0.354874197106971,Not significant
LGALS1,1.23596809172388,0.399415428457537,Not significant
PAIP2B,-1.13870270568657,0.40930541063867,Not significant
COL18A1,1.1458876805597,0.479816895640432,Not significant
ITGBL1,1.23659320186194,0.510818236642934,Not significant
MYOC,-1.22189592394776,0.528704752347458,Not significant
BUB1B,1.20649584573881,0.550553721977511,Not significant
LPGAT1,1.16877475902985,0.575065637114461,Not significant
PLLP,-1.19407593354478,0.625697251650261,Not significant
GPNMB,1.22967631770896,0.643931822667564,Not significant
HSPB1,1.24897676258209,0.657931430283446,Not significant
FCGBP,-1.4107796578806,0.742877025219673,Not significant
GINS1,1.20647056879104,0.808457285577549,Not significant
ERO1LB,-1.16417698920895,0.918558248264961,Not significant
OLFM4,1.68887674660448,1,Not significant
S100P,-1.37987602101493,1,Not significant
PLA2G2A,1.36072143334328,1,Not significant
MSMB,-1.33217798721269,1,Not significant
SPINK1,-1.31688107938806,1,Not significant
ARL14,-1.30353106176119,1,Not significant
AKR1C3,-1.24530977140299,1,Not significant
GJA1,1.23091014801493,1,Not significant
P2RY14,-1.20962313239552,1,Not significant
CDH17,1.20725509197015,1,Not significant
GC,-1.20137590777612,1,Not significant
IL32,1.18647208367164,1,Not significant
ANXA1,1.1765303461791,1,Not significant
PDGFD,-1.17465012662687,1,Not significant
NID2,1.16825082241791,1,Not significant
VCAM1,1.16814529812687,1,Not significant
GPRC5A,1.16594460226493,1,Not significant
STEAP1,1.16462366857463,1,Not significant
FSTL1,1.16363900400746,1,Not significant
MMD,1.16096085552985,1,Not significant
AOC1,1.1594768549403,1,Not significant
CXCL8,1.15735310136567,1,Not significant
LIPG,1.14742915944776,1,Not significant
HMGCS2,-1.13506848286567,1,Not significant
SCUBE2,-1.13329436490299,1,Not significant
TMEM30B,-1.12946496023134,1,Not significant
MLPH,-1.12935366009702,1,Not significant
UBE2S,1.12369993377612,1,Not significant
ADTRP,-1.12107331283582,1,Not significant
CEP55,1.12044551330597,1,Not significant
