dataset,sample,group,pair_id,module_score
GSE29272,GSM723566,Normal,TYB0052,0.772675489600359
GSE29272,GSM723567,Tumor,TYB0052,-0.467993966247478
GSE29272,GSM723568,Normal,TYB0053,1.36010441593106
GSE29272,GSM723569,Tumor,TYB0053,-0.568684614733795
GSE29272,GSM723570,Normal,TYB0054,0.512775075559887
GSE29272,GSM723571,Tumor,TYB0054,-0.0332895045489871
GSE29272,GSM723572,Normal,TYB0055,1.09846368562522
GSE29272,GSM723573,Tumor,TYB0055,-0.236332982542239
GSE29272,GSM723574,Normal,TYB0056,1.03034778161814
GSE29272,GSM723575,Tumor,TYB0056,-0.745335481149088
GSE29272,GSM723576,Normal,TYB0057,1.27134765112637
GSE29272,GSM723577,Tumor,TYB0057,-0.429187330533717
GSE29272,GSM723578,Normal,TYB0058,1.04630114142734
GSE29272,GSM723579,Tumor,TYB0058,-0.689648889226359
GSE29272,GSM723580,Normal,TYB0059,1.09037544580593
GSE29272,GSM723581,Tumor,TYB0059,1.16965769503038
GSE29272,GSM723582,Normal,TYB0060,0.833682774661944
GSE29272,GSM723583,Tumor,TYB0060,0.826627521483678
GSE29272,GSM723584,Normal,TYB0061,1.15052432843067
GSE29272,GSM723585,Tumor,TYB0061,-0.624106456456888
GSE29272,GSM723586,Normal,TYB0062,1.23692904527702
GSE29272,GSM723587,Tumor,TYB0062,-0.666792437977217
GSE29272,GSM723588,Normal,TYB0063,1.30171027032021
GSE29272,GSM723589,Tumor,TYB0063,0.178026597520375
GSE29272,GSM723590,Normal,TYB0064,0.970626895433174
GSE29272,GSM723591,Tumor,TYB0064,-0.551185561743932
GSE29272,GSM723592,Normal,TYB0065,1.33979123382746
GSE29272,GSM723593,Tumor,TYB0065,0.187768609868486
GSE29272,GSM723594,Normal,TYB0066,0.942608295365376
GSE29272,GSM723595,Tumor,TYB0066,-0.603447267599497
GSE29272,GSM723596,Normal,TYB0067,1.24807166588622
GSE29272,GSM723597,Tumor,TYB0067,0.244355571359185
GSE29272,GSM723598,Normal,TYB0068,0.880612005132868
GSE29272,GSM723599,Tumor,TYB0068,-0.223715226458757
GSE29272,GSM723600,Normal,TYB0069,1.19969270292221
GSE29272,GSM723601,Tumor,TYB0069,-0.110097190945875
GSE29272,GSM723602,Normal,TYB0070,1.26511451174514
GSE29272,GSM723603,Tumor,TYB0070,-0.768935559052365
GSE29272,GSM723604,Normal,TYB0071,1.15745763489469
GSE29272,GSM723605,Tumor,TYB0071,-0.672688814586105
GSE29272,GSM723606,Normal,TYB0072,0.755650322446848
GSE29272,GSM723607,Tumor,TYB0072,-0.459079574157291
GSE29272,GSM723608,Normal,TYC0001,-1.13808993854208
GSE29272,GSM723609,Tumor,TYC0001,-0.87768023173708
GSE29272,GSM723610,Normal,TYC0002,-0.0457379339416413
GSE29272,GSM723611,Tumor,TYC0002,-1.27693369869473
GSE29272,GSM723612,Normal,TYC0003,0.322512356724278
GSE29272,GSM723613,Tumor,TYC0003,-1.15082072326432
GSE29272,GSM723614,Normal,TYC0004,0.789175946740278
GSE29272,GSM723615,Tumor,TYC0004,-0.977220096331692
GSE29272,GSM723616,Normal,TYC0005,0.822061228769054
GSE29272,GSM723617,Tumor,TYC0005,-1.01938783286427
GSE29272,GSM723618,Normal,TYC0006,0.691588893675971
GSE29272,GSM723619,Tumor,TYC0006,-1.23847113032377
GSE29272,GSM723620,Normal,TYC0007,0.540104162928648
GSE29272,GSM723621,Tumor,TYC0007,-1.0914336984325
GSE29272,GSM723622,Normal,TYC0008,0.682452772651189
GSE29272,GSM723623,Tumor,TYC0008,0.101855884561123
GSE29272,GSM723624,Normal,TYC0009,0.456598818815446
GSE29272,GSM723625,Tumor,TYC0009,-0.997266048456158
GSE29272,GSM723626,Normal,TYC0010,0.754247837763114
GSE29272,GSM723627,Tumor,TYC0010,-0.495605114498706
GSE29272,GSM723628,Normal,TYC0011,0.757993713753285
GSE29272,GSM723629,Tumor,TYC0011,-0.450411965708534
GSE29272,GSM723630,Normal,TYC0012,0.748158655820371
GSE29272,GSM723631,Tumor,TYC0012,-1.29158024212053
GSE29272,GSM723632,Normal,TYC0013,0.697531526307704
GSE29272,GSM723633,Tumor,TYC0013,-1.35658303951936
GSE29272,GSM723634,Normal,TYC0014,0.504763590688757
GSE29272,GSM723635,Tumor,TYC0014,-0.655354941641236
GSE29272,GSM723636,Normal,TYC0015,0.73808293725915
GSE29272,GSM723637,Tumor,TYC0015,-0.945803930281709
GSE29272,GSM723638,Normal,TYC0016,0.140411795017841
GSE29272,GSM723639,Tumor,TYC0016,-1.3092564033695
GSE29272,GSM723640,Normal,TYC0017,0.763076144051679
GSE29272,GSM723641,Tumor,TYC0017,-1.14787991005875
GSE29272,GSM723642,Normal,TYC0018,0.652949921640537
GSE29272,GSM723643,Tumor,TYC0018,-1.2784498290985
GSE29272,GSM723644,Normal,TYC0019,0.0374907872384164
GSE29272,GSM723645,Tumor,TYC0019,-1.06240951977383
GSE29272,GSM723646,Normal,TYC0020,-0.112195636861725
GSE29272,GSM723647,Tumor,TYC0020,-0.946252093698616
GSE29272,GSM723648,Normal,TYC0021,0.426003448331466
GSE29272,GSM723649,Tumor,TYC0021,-1.2498178389541
GSE29272,GSM723650,Normal,TYC0022,-0.663992939249863
GSE29272,GSM723651,Tumor,TYC0022,-0.869946961425536
GSE29272,GSM723652,Normal,TYC0023,0.343300924891497
GSE29272,GSM723653,Tumor,TYC0023,-1.21384546953533
GSE29272,GSM723654,Normal,TYC0024,-0.649756706164882
GSE29272,GSM723655,Tumor,TYC0024,-0.920641641383613
GSE29272,GSM723656,Normal,TYC0025,0.572569362127532
GSE29272,GSM723657,Tumor,TYC0025,-1.20198516650422
GSE29272,GSM723658,Normal,TYC0026,0.24927533619446
GSE29272,GSM723659,Tumor,TYC0026,-1.08246811575335
GSE29272,GSM723660,Normal,TYC0027,0.389422385763551
GSE29272,GSM723661,Tumor,TYC0027,-1.45029172324873
GSE29272,GSM723662,Normal,TYC0028,0.910652016345397
GSE29272,GSM723663,Tumor,TYC0028,-1.2210878504465
GSE29272,GSM723664,Normal,TYC0029,0.718908211512129
GSE29272,GSM723665,Tumor,TYC0029,-1.13923256390762
GSE29272,GSM723666,Normal,TYC0030,-0.778378030870362
GSE29272,GSM723667,Tumor,TYC0030,-1.007452287518
GSE29272,GSM723668,Normal,TYC0031,0.494023656830528
GSE29272,GSM723669,Tumor,TYC0031,-0.828097306788586
GSE29272,GSM723670,Normal,TYC0032,0.847067991411663
GSE29272,GSM723671,Tumor,TYC0032,-0.890204974674336
GSE29272,GSM723672,Normal,TYC0033,-0.0433214756564538
GSE29272,GSM723673,Tumor,TYC0033,-1.17895908713193
GSE29272,GSM723674,Normal,TYC0034,0.652851165028234
GSE29272,GSM723675,Tumor,TYC0034,-0.818582422627758
GSE29272,GSM723676,Normal,TYC0035,0.0196928765299151
GSE29272,GSM723677,Tumor,TYC0035,-0.96796088047923
GSE29272,GSM723678,Normal,TYC0036,0.344225699651054
GSE29272,GSM723679,Tumor,TYC0036,-1.2138044360854
GSE29272,GSM723680,Normal,TYC0037,-1.1722614079034
GSE29272,GSM723681,Tumor,TYC0037,-1.07505229668026
GSE29272,GSM723682,Normal,TYC0038,0.320901120227289
GSE29272,GSM723683,Tumor,TYC0038,-1.16890291148538
GSE29272,GSM723684,Normal,TYC0039,0.295881851417208
GSE29272,GSM723685,Tumor,TYC0039,-1.18561754142352
GSE29272,GSM723686,Normal,TYC0040,0.43594355336705
GSE29272,GSM723687,Tumor,TYC0040,-0.358824451837884
GSE29272,GSM723688,Normal,TYC0041,-0.189319907774549
GSE29272,GSM723689,Tumor,TYC0041,-1.16891546420083
GSE29272,GSM723690,Normal,TYC0042,0.0136953068721427
GSE29272,GSM723691,Tumor,TYC0042,-0.691215122035888
GSE29272,GSM723692,Normal,TYC0043,0.759830343393956
GSE29272,GSM723693,Tumor,TYC0043,-0.887716545838455
GSE29272,GSM723694,Normal,TYC0044,-0.132180551787282
GSE29272,GSM723695,Tumor,TYC0044,-1.2097747861663
GSE29272,GSM723696,Normal,TYC0045,0.0461759301215759
GSE29272,GSM723697,Tumor,TYC0045,-1.24454598533412
GSE29272,GSM723698,Normal,TYC0046,0.566372717080879
GSE29272,GSM723699,Tumor,TYC0046,-0.918177797486326
GSE29272,GSM723700,Normal,TYC0047,0.419549391057947
GSE29272,GSM723701,Tumor,TYC0047,-1.08753561657047
GSE29272,GSM723702,Normal,TYC0048,0.682165253089642
GSE29272,GSM723703,Tumor,TYC0048,-1.03465684122226
GSE29272,GSM723704,Normal,TYC0049,0.582384817474436
GSE29272,GSM723705,Tumor,TYC0049,-1.23206254474892
GSE29272,GSM723706,Normal,TYC0050,0.746149573237363
GSE29272,GSM723707,Tumor,TYC0050,-1.06821269828902
GSE29272,GSM723708,Normal,TYC0051,0.839923504900132
GSE29272,GSM723709,Tumor,TYC0051,-1.12967530680941
GSE29272,GSM723710,Normal,TYC0052,0.640406509215027
GSE29272,GSM723711,Tumor,TYC0052,-0.741221660241354
GSE29272,GSM723712,Normal,TYC0053,-0.39995685132653
GSE29272,GSM723713,Tumor,TYC0053,-0.999029330809029
GSE29272,GSM723714,Normal,TYC0054,0.476000964802372
GSE29272,GSM723715,Tumor,TYC0054,-0.765191774870227
GSE29272,GSM723716,Normal,TYC0055,0.820811889419586
GSE29272,GSM723717,Tumor,TYC0055,-1.0638335055639
GSE29272,GSM723718,Normal,TYC0056,0.897740401554317
GSE29272,GSM723719,Tumor,TYC0056,-0.844719649471477
GSE29272,GSM723720,Normal,TYC0057,-0.134861518351779
GSE29272,GSM723721,Tumor,TYC0057,-1.22867242491177
GSE29272,GSM723722,Normal,TYC0058,0.941426387367097
GSE29272,GSM723723,Tumor,TYC0058,-0.91539796762256
GSE29272,GSM723724,Normal,TYC0059,0.510716182137393
GSE29272,GSM723725,Tumor,TYC0059,-0.626885819494295
GSE29272,GSM723726,Normal,TYC0060,-0.171125225624754
GSE29272,GSM723727,Tumor,TYC0060,-1.10609994853609
GSE29272,GSM723728,Normal,TYC0061,0.870927990199586
GSE29272,GSM723729,Tumor,TYC0061,-0.346172224261858
GSE29272,GSM723730,Normal,TYC0062,-1.05530703277239
GSE29272,GSM723731,Tumor,TYC0062,-0.929981042449229
GSE79973,GSM2109532,Tumor,patient_1,-1.17526363701432
GSE79973,GSM2109533,Normal,patient_1,1.03532082077014
GSE79973,GSM2109534,Tumor,patient_2,-1.074769785613
GSE79973,GSM2109535,Normal,patient_2,1.09427316953843
GSE79973,GSM2109536,Tumor,patient_3,-1.0239021312575
GSE79973,GSM2109537,Normal,patient_3,0.940904404086691
GSE79973,GSM2109538,Tumor,patient_4,-0.199805405475224
GSE79973,GSM2109539,Normal,patient_4,1.170705780104
GSE79973,GSM2109540,Tumor,patient_5,-0.676980927999648
GSE79973,GSM2109541,Normal,patient_5,0.522378488858895
GSE79973,GSM2109542,Tumor,patient_6,-0.0853486295980439
GSE79973,GSM2109543,Normal,patient_6,0.583051343166186
GSE79973,GSM2109544,Tumor,patient_7,-0.761493943034676
GSE79973,GSM2109545,Normal,patient_7,0.925067701915916
GSE79973,GSM2109546,Tumor,patient_8,-0.889052661731085
GSE79973,GSM2109547,Normal,patient_8,0.458536122951459
GSE79973,GSM2109548,Tumor,patient_9,0.291609457838835
GSE79973,GSM2109549,Normal,patient_9,-0.707586077435308
GSE79973,GSM2109550,Tumor,patient_10,-0.853072640462284
GSE79973,GSM2109551,Normal,patient_10,0.425428550390538
GSE19826,GSM495051,Normal,CB2008210-1,-0.0152190177074866
GSE19826,GSM495052,Tumor,CB2008210-1,0.0267009208587322
GSE19826,GSM495053,Normal,CB2008210-2,0.795384348687363
GSE19826,GSM495054,Tumor,CB2008210-2,-1.72590242154239
GSE19826,GSM495055,Normal,CB2008210-3,0.655481284207213
GSE19826,GSM495056,Tumor,CB2008210-3,-1.04157699863157
GSE19826,GSM495057,Normal,CB2008210-4,0.326919444929855
GSE19826,GSM495058,Tumor,CB2008210-4,-1.09716386793963
GSE19826,GSM495059,Normal,CB2008210-5,0.791690354260451
GSE19826,GSM495060,Tumor,CB2008210-5,-1.61259130939743
GSE19826,GSM495061,Normal,CB2008210-6,0.572894785056732
GSE19826,GSM495062,Tumor,CB2008210-6,-0.00621607141783852
GSE19826,GSM495063,Normal,CB2008210-7,0.165771482353785
GSE19826,GSM495064,Tumor,CB2008210-7,-1.05666898827755
GSE19826,GSM495065,Normal,CB2008210-9,0.889139086943994
GSE19826,GSM495066,Tumor,CB2008210-9,-0.987846183075176
GSE19826,GSM495067,Normal,CB2008210-12,0.743215118823704
GSE19826,GSM495068,Tumor,CB2008210-12,0.0571479744851833
GSE19826,GSM495069,Normal,CB2008210-13,0.782409022373488
GSE19826,GSM495070,Tumor,CB2008210-13,0.205023255959279
GSE19826,GSM495071,Normal,CB2008210-14,-0.694074601424701
GSE19826,GSM495072,Tumor,CB2008210-14,0.634026280134647
GSE19826,GSM495073,Normal,CB2008210-15,0.453708572827448
GSE19826,GSM495074,Tumor,CB2008210-15,-1.12776646009917
