model,estimate,ci_low,ci_high,pvalue
Paired epithelial pseudobulk,,-0.280613602129462,0.252237110095515,0.906758050028063
Patient + lineage adjusted,0.0304747979368701,-0.139865773475818,0.200815369349558,0.72878547314667
