dataset,platform,available_module_genes,paired_patients,mean_tumor_minus_normal_score,score_difference_ci_low,score_difference_ci_high,paired_t_pvalue,paired_wilcoxon_pvalue,down_direction_genes,direction_concordance,binomial_pvalue,lfc_spearman_rho,lfc_spearman_pvalue
GSE79973,GPL570,72,10,-1.28961606086939,-1.95888863878834,-0.620343482950435,0.00182630430343316,0.0108269212771313,72,1,4.23516473627151e-22,0.751977619139495,2.67789797024844e-14
GSE19826,GPL570,72,12,-1.1000128125229,-1.78936770568356,-0.410657919362231,0.00486523531863197,0.0134711970182132,72,1,4.23516473627151e-22,0.699659142067014,8.05450898370759e-12
