cohort,n_pairs,raw_mean_difference,raw_ci_low,raw_ci_high,hedges_gz,variance,se,ci_low,ci_high,p_value,analysis_type
GSE206785,10,-0.0141882460169733,-0.280613602129462,0.252237110095515,-0.0348303519967794,0.0836524944057049,0.28922740949935,-0.601705657957324,0.532044953963765,0.904146101641717,Descriptive cohort-specific standardized effect; no pooling
GSE270680,11,-0.699732405464963,-1.00720997155681,-0.392254839373119,-1.41124480123282,0.16798881367459,0.409864384491492,-2.21456423338182,-0.607925369083817,0.000574875289752994,Descriptive cohort-specific standardized effect; no pooling
