gene,log2FoldChange,meanExpression,t,PValue,padj,standard_t,standard_PValue,standard_padj,B,direction
CAPN9,-1.71461363603731,7.43684609077985,-8.1881453497651,8.14370070310957e-14,1.91597525083784e-11,-19.6462885153086,1.00212031680479e-41,1.79634043455183e-39,84.4580496454834,Down
PIK3C2G,-1.56262024966418,6.95801928598881,-7.91688570633862,3.67049535933131e-13,8.45936818223031e-11,-21.988341028226,7.82202687121007e-47,3.27163516505835e-44,96.157502096711,Down
BGN,1.51768337495025,8.24942505490796,7.88611441666087,4.34943588092225e-13,9.82363588065099e-11,23.1195849089647,3.41123183390402e-49,2.26606124119283e-46,101.558852392563,Up
THY1,1.51446910468657,8.67120492141542,7.7151766922073,1.1118367425918e-12,2.46195535962533e-10,22.7115615517173,2.37896184992987e-48,1.41397979848727e-45,99.6291608818124,Up
CKB,-1.78088884492537,9.76932284675373,-7.69402832336029,1.24809111452043e-12,2.71051787620754e-10,-17.5469393661548,6.82041521201827e-37,5.06729927561331e-35,73.3769212346968,Down
FAP,1.61657330598508,7.07894017454478,7.65284341971562,1.56268647611529e-12,3.32970158014527e-10,20.0647388836118,1.16490956520454e-42,2.48213655091601e-40,86.599935998918,Up
MT1HL1,-1.58646111573134,11.8943351739254,-7.60427768863396,2.03583553192363e-12,4.25753530778028e-10,-20.5706577002927,8.89495192066869e-44,2.18371069652416e-41,89.1595439080459,Down
COL6A3,1.69189902429104,10.8615985448769,7.46568085580046,4.31548958709682e-12,8.86087707401534e-10,18.2558114871454,1.49749949416001e-38,1.55220926475334e-36,77.1804106373819,Up
KLK11,-1.80890633345522,8.59663263315299,-7.35423570460815,7.86491437544682e-12,1.58604425074859e-09,-16.4458145443914,2.89531603235374e-34,1.39729931424662e-32,67.348728345531,Down
ALDH1A1,-2.02176662156716,9.48489211517164,-7.30566168045701,1.02050397717077e-11,2.0218511252964e-09,-14.4556913704578,2.27477735400203e-29,4.88385183626328e-28,56.1174207721959,Down
CLDN3,1.82591663165299,7.26048725951306,7.29101615109887,1.10372786353248e-11,2.14903426946075e-09,16.1188032081371,1.79375224651583e-33,7.64409212071821e-32,65.5315489511395,Up
HPGD,-1.68132110297761,7.34387312525187,-7.26101636879265,1.29573750686629e-11,2.48012943475272e-09,-17.9182767076541,9.1563374817643e-38,8.07832181105971e-36,75.3770782007317,Down
COL1A1,1.48200851902985,8.6591768798806,7.20717765386691,1.72673402556677e-11,3.25000122512092e-09,22.1595641145315,3.40127950455948e-47,1.53642597779961e-44,96.9853781758266,Up
SFRP4,1.67644491594403,6.65149659115485,7.09490234938665,3.13356441252353e-11,5.80120375584069e-09,17.5834169086027,5.59527697690004e-37,4.29846686395456e-35,73.5741487784308,Up
COL4A1,1.53879850125746,9.76433487215485,6.94816012273425,6.7867458810053e-11,1.23617292313214e-08,19.843816117542,3.61855307721064e-42,6.83521279026756e-40,85.4719143729697,Up
CLDN18,-2.14650162879353,9.4078814256704,-6.8726830989086,1.00712238280355e-10,1.80530683634929e-08,-12.8671648565497,2.35318974584448e-25,2.69792607104789e-24,46.9081301301135,Down
PBLD,-1.79761638079104,8.18529519112687,-6.86292328706177,1.0597100496255e-10,1.86989149850324e-08,-15.4672140869265,7.03090111306825e-32,2.20555461860777e-30,61.876099019249,Down
CKS2,1.76746100902239,7.81717163477985,6.83295515269625,1.23871813243366e-10,2.15212982608821e-08,15.7362806276936,1.53720517897304e-32,5.56399297632773e-31,63.391022507327,Up
VCAN,1.56225464839701,7.95211933191343,6.74662385105676,1.93860087422563e-10,3.31706358676212e-08,18.745855640943,1.10816364470037e-39,1.45517349297689e-37,79.7732066054932,Up
REG3A,-2.4109693325597,9.11961265433209,-6.43740392004368,9.45404167115463e-10,1.59349988943805e-07,-10.9998021036848,1.43277661771871e-20,8.83689041174076e-20,35.9425058493399,Down
TYROBP,1.53615659346269,8.38014584173881,6.24554683225357,2.47091674551397e-09,4.10353864810136e-07,17.8942832432294,1.04195863707537e-37,9.05141452960933e-36,75.2483521870612,Up
DUOX1,-1.52422770904104,6.78288986702799,-6.1453105685536,4.06273137375771e-09,6.64189019212153e-07,-17.8679083301161,1.20111725035706e-37,1.03543642047956e-35,75.1067677140138,Down
MT2A,-1.47806134440299,12.6816755675,-6.14262444475297,4.1169956030152e-09,6.64189019212153e-07,-18.9916542118931,3.03620107382831e-40,4.30107136864074e-38,81.0623043318272,Down
CDH11,1.46342100755597,7.83370585662873,6.08655193289297,5.42707341761295e-09,8.63210424015536e-07,19.220509681146,9.15745785780387e-41,1.36072594194973e-38,82.2556466548172,Up
CST1,1.9452340761791,6.03861673650746,6.02091790964301,7.48636443865715e-09,1.1742154667466e-06,12.3906818246102,3.87432800754425e-24,3.7523830350941e-23,44.1185651940068,Up
DGKD,-1.34288320160448,9.93129944453358,-5.97565088307642,9.33581651568166e-09,1.44423802618621e-06,-23.4033080418819,8.94515257021165e-50,7.2155434268143e-47,102.888491007788,Down
CEACAM6,2.06134372367537,8.73714761987127,5.85861833113832,1.64521389642288e-08,2.51072980166265e-06,11.3786192511515,1.51537934800614e-21,1.03905154687513e-20,38.1770040426006,Up
ECT2,1.52640708892537,5.52835606074627,5.67215613397566,4.00582676257271e-08,6.03170688396449e-06,16.4473836210428,2.87017228325121e-34,1.39110968217837e-32,67.3574186952176,Up
GPER1,-1.39183552540299,6.61401907640299,-5.52922846323495,7.83639243058848e-08,1.16442604892942e-05,-19.6403238202687,1.03350306679326e-41,1.82364845832755e-39,84.4273564757944,Down
