gene,gene_key,DEG_log2FoldChange,DEG_meanExpression,DEG_t,DEG_PValue,DEG_padj,DEG_standard_t,DEG_standard_PValue,DEG_standard_padj,DEG_B,DEG_direction,WGCNA_module,WGCNA_module_color,WGCNA_MAD,WGCNA_MM,WGCNA_MM_pvalue,WGCNA_GS,WGCNA_GS_pvalue,WGCNA_hub_candidate,WGCNA_log2FoldChange,WGCNA_PValue,WGCNA_padj
"PBLD","PBLD",-1.79761638079104,8.18529519112687,-6.86292328706177,1.0597100496255e-10,1.86989149850324e-08,-15.4672140869265,7.03090111306825e-32,2.20555461860777e-30,61.876099019249,"Down","M04","#9A86A4",1.6403453819865,0.849325474985583,2.20259435590871e-74,-0.647741739240188,1.11934652703107e-32,TRUE,-1.79761638079104,1.0597100496255e-10,1.86989149850324e-08
"DUOX1","DUOX1",-1.52422770904104,6.78288986702799,-6.1453105685536,4.06273137375771e-09,6.64189019212153e-07,-17.8679083301161,1.20111725035706e-37,1.03543642047956e-35,75.1067677140138,"Down","M04","#9A86A4",1.13061349104585,0.830724820044878,2.38090663840331e-68,-0.714524149384437,2.21392062406119e-42,TRUE,-1.52422770904104,4.06273137375771e-09,6.64189019212153e-07
"MT2A","MT2A",-1.47806134440299,12.6816755675,-6.14262444475297,4.1169956030152e-09,6.64189019212153e-07,-18.9916542118931,3.03620107382831e-40,4.30107136864074e-38,81.0623043318272,"Down","M04","#9A86A4",1.309532669781,0.806502070747555,1.63830536148062e-61,-0.721258205646735,1.62323760419626e-43,TRUE,-1.47806134440299,4.1169956030152e-09,6.64189019212153e-07
"DGKD","DGKD",-1.34288320160448,9.93129944453358,-5.97565088307642,9.33581651568166e-09,1.44423802618621e-06,-23.4033080418819,8.94515257021165e-50,7.2155434268143e-47,102.888491007788,"Down","M04","#9A86A4",1.147343198001,0.953392732488069,7.8524572240312e-138,-0.72599619316498,2.46453078467191e-44,TRUE,-1.34288320160448,9.33581651568166e-09,1.44423802618621e-06
"GPER1","GPER1",-1.39183552540299,6.61401907640299,-5.52922846323495,7.83639243058848e-08,1.16442604892942e-05,-19.6403238202687,1.03350306679326e-41,1.82364845832755e-39,84.4273564757944,"Down","M04","#9A86A4",1.0372765640895,0.882343924085012,2.04403246595322e-87,-0.727134828304335,1.55751265124263e-44,TRUE,-1.39183552540299,7.83639243058848e-08,1.16442604892942e-05
"ADH1C","ADH1C",-1.67728206825373,7.33408439891045,-5.45245625433497,1.11910567011789e-07,1.63529778260316e-05,-13.502951771503,5.7007706232059e-27,8.23258345880616e-26,50.6139193022477,"Down","M04","#9A86A4",1.7642903817147,0.763583825837305,1.69331886727689e-51,-0.555409945818915,1.09513017810442e-22,FALSE,-1.67728206825373,1.11910567011789e-07,1.63529778260316e-05
"IGFBP2","IGFBP2",-1.54483117503731,10.0751759216306,-5.42980017410848,1.24250517389397e-07,1.77615328212463e-05,-15.3958234541394,1.05376531462008e-31,3.19897088656036e-30,61.4729003652146,"Down","M04","#9A86A4",1.3901607291516,0.798023013935885,2.41505858023034e-59,-0.629304468851579,2.06498778762544e-30,FALSE,-1.54483117503731,1.24250517389397e-07,1.77615328212463e-05
"GPRC5C","GPRC5C",-1.38828834923881,8.53730122481343,-5.42225894815544,1.28645389911901e-07,1.81599048534387e-05,-19.386775160875,3.84930167797654e-41,6.39267115432192e-39,83.1184351521379,"Down","M04","#9A86A4",1.1511150020832,0.938535201313402,1.4177524773181e-122,-0.730111487074981,4.64101383216257e-45,TRUE,-1.38828834923881,1.28645389911901e-07,1.81599048534387e-05
"CTSE","CTSE",-1.93839493347761,10.4710135627985,-5.28015517364266,2.46441623782933e-07,3.43588303380328e-05,-10.9069493785888,2.45719101164628e-20,1.47679925995324e-19,35.4057400351682,"Down","M04","#9A86A4",1.980572396628,0.706789788085013,4.06107264892379e-41,-0.53757836843347,4.25137487006278e-21,FALSE,-1.93839493347761,2.46441623782933e-07,3.43588303380328e-05
"IGJ","IGJ",-1.8493887788806,10.279727201403,-5.20226449418558,3.50145812428474e-07,4.82219104848141e-05,-11.3269798466083,2.05523372266e-21,1.38317964421927e-20,37.8738083808268,"Down","M04","#9A86A4",1.6619187931794,0.675168567674329,2.35968240486843e-36,-0.556368072900484,8.9405477692792e-23,FALSE,-1.8493887788806,3.50145812428474e-07,4.82219104848141e-05
"TCN1","TCN1",-1.94633967332836,9.37286786309702,-5.04629452847495,7.02065727847098e-07,9.32626473796104e-05,-10.3787292458389,5.52979084243036e-19,2.82953910210993e-18,32.3102058138274,"Down","M04","#9A86A4",2.2832134560228,0.676522341875175,1.5173502177801e-36,-0.546871197162631,6.48970933536532e-22,FALSE,-1.94633967332836,7.02065727847098e-07,9.32626473796104e-05
"KIAA1324","KIAA1324",-1.4739999729403,7.95582655220896,-5.01422895760322,8.0759676399788e-07,0.000102474047818293,-15.592771666159,3.45534653035018e-32,1.17180865967702e-30,62.5839584846731,"Down","M04","#9A86A4",1.4517916431648,0.824010902302083,2.37938928229895e-66,-0.664837927822122,6.35665620985025e-35,TRUE,-1.4739999729403,8.0759676399788e-07,0.000102474047818293
"UGT2B15","UGT2B15",-1.44880942567911,7.38352172647761,-4.89787199292156,1.34153325435371e-06,0.000168332611571294,-15.8109048141696,1.00969335311367e-32,3.83921449047564e-31,63.8098377495999,"Down","M04","#9A86A4",1.4385003016986,0.877590701623536,2.59490550616319e-85,-0.631918427429425,1.00679769435938e-30,TRUE,-1.44880942567911,1.34153325435371e-06,0.000168332611571294
"FMO5","FMO5",-1.37489878935448,6.98619456947575,-4.88095365078818,1.44336561196835e-06,0.000179120086329215,-17.9003439219397,1.00848548815182e-37,8.82854776565772e-36,75.2808747020167,"Down","M04","#9A86A4",1.31566183455,0.884839130262344,1.47731061638862e-88,-0.641246407444383,7.32717508439899e-32,TRUE,-1.37489878935448,1.44336561196835e-06,0.000179120086329215
"APLP1","APLP1",-1.35856003406716,7.66460754310821,-4.77845125797529,2.2407209911198e-06,0.000275048501659955,-18.1052328397737,3.35288165541612e-38,3.23624722518071e-36,76.3776682638756,"Down","M04","#9A86A4",1.1464629020271,0.919413764567998,8.91122535768332e-108,-0.703940470650822,1.15816243268419e-40,TRUE,-1.35856003406716,2.2407209911198e-06,0.000275048501659955
"TMPRSS2","TMPRSS2",-1.33974548911567,8.44691085589739,-4.36661154610241,1.2329687836287e-05,0.00143545530654834,-17.2192076393377,4.06900515529362e-36,2.65164928391997e-34,71.5977201794494,"Down","M04","#9A86A4",1.42304816747205,0.861762097526255,6.82642421385947e-79,-0.61337894568854,1.42277044019957e-28,TRUE,-1.33974548911567,1.2329687836287e-05,0.00143545530654834
"KRT20","KRT20",-1.86227400429851,8.41177382664179,-4.29060026109408,1.67262796414435e-05,0.00192744771419205,-9.26651306804998,3.62370143422153e-16,1.40241467774721e-15,25.8703951669541,"Down","M04","#9A86A4",2.4500492990925,0.556196742395941,9.27126857227068e-23,-0.434733938431653,1.49909492451791e-13,FALSE,-1.86227400429851,1.67262796414435e-05,0.00192744771419205
"ACSM3","ACSM3",-1.33236239025373,6.86122020782463,-4.28597813251656,1.70105027902282e-05,0.00194040008090957,-17.181474910129,5.00208605427789e-36,3.19144394412204e-34,71.3920477536001,"Down","M04","#9A86A4",1.27253509509315,0.920676298715862,1.2349754120575e-108,-0.620164288310195,2.41435638543061e-29,TRUE,-1.33236239025373,1.70105027902282e-05,0.00194040008090957
"DUOX2","DUOX2",-1.58579049145523,8.36857754047388,-4.28276336975012,1.72287149697287e-05,0.00194563878153146,-11.5938471654444,4.25477042772061e-22,3.13023598959276e-21,39.4409900474789,"Down","M04","#9A86A4",1.5905526368256,0.715890040635198,1.31116400515478e-42,-0.539014453114509,3.19172812152496e-21,FALSE,-1.58579049145523,1.72287149697287e-05,0.00194563878153146
"ECI2","ECI2",-1.29119499981343,8.41469432690672,-4.25936605678277,1.88998133469116e-05,0.00209250580516345,-18.8865610962296,5.27633934128925e-40,7.26654880258286e-38,80.5120774440347,"Down","M04","#9A86A4",1.1181383983455,0.86890892767652,1.09455872964001e-81,-0.664307189051116,7.50196956994801e-35,TRUE,-1.29119499981343,1.88998133469116e-05,0.00209250580516345
"PTPRZ1","PTPRZ1",-1.30358992460448,5.70268017632463,-4.22871964394461,2.13251442803289e-05,0.00233810538211412,-18.1577709767708,2.5301395179505e-38,2.52857217488629e-36,76.6580723483264,"Down","M04","#9A86A4",1.1430124477884,0.862910239150989,2.48814357117868e-79,-0.579474832877089,5.46670061120947e-25,TRUE,-1.30358992460448,2.13251442803289e-05,0.00233810538211412
"XYLT2","XYLT2",-1.23521488548507,7.48128355398881,-4.22434546338587,2.16947650904447e-05,0.00235575944390762,-22.1838613106681,3.02306282108303e-47,1.42247701827044e-44,97.1025565779906,"Down","M04","#9A86A4",0.9041524905,0.919119540598626,1.40583561625067e-107,-0.753112753407367,2.25606997108983e-49,TRUE,-1.23521488548507,2.16947650904447e-05,0.00235575944390762
"COL2A1","COL2A1",-1.37088075879851,6.24804487800373,-4.06222028500739,4.06647042449587e-05,0.00433232551922943,-15.0151214227402,9.19585424303076e-31,2.39282907757019e-29,59.3142312052221,"Down","M04","#9A86A4",1.11704524067115,0.862283572644335,4.32120173752121e-79,-0.670348050685129,1.11551429813174e-35,TRUE,-1.37088075879851,4.06647042449587e-05,0.00433232551922943
"HOMER2","HOMER2",-1.27161416896269,7.64506937041418,-3.93472142935826,6.58562481359146e-05,0.0068862463907304,-18.4211579962915,6.19991704150226e-39,6.86428070094951e-37,78.0586207923165,"Down","M04","#9A86A4",1.1390160601995,0.915732899032137,2.36703986440489e-105,-0.676996897928972,1.2990327297009e-36,TRUE,-1.27161416896269,6.58562481359146e-05,0.0068862463907304
