"pathway","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","leading_edge_size","core_enrichment","direction"
"Xenobiotic Metabolism","HALLMARK_XENOBIOTIC_METABOLISM","Genes encoding proteins involved in processing of drugs and other xenobiotics.",170,-0.418962599070937,-1.76459314542308,0.000226336899956701,0.000538897380849289,0.000170178120268197,1279,"tags=28%, list=11%, signal=25%",48,"CYP1A1/SAR1B/GSTT2/PINK1/XDH/GSR/GCNT2/F11/CD36/ALAS1/RETSAT/NDRG2/SMOX/EPHX1/UGDH/PC/F10/ENTPD5/TMBIM6/GSTA3/PMM1/PDK4/GABARAPL1/CCL25/ETFDH/DHRS7/GCKR/ACO2/BLVRB/ADH7/ALDH2/CYB5A/TMEM97/NQO1/CBR1/CYFIP2/GNMT/RAP1GAP/FBP1/MAOA/DCXR/AKR1C3/CYP2C18/MT2A/ADH1C/ALDH3A1/CA2/REG1A","Suppressed in disease"
"Kras Signaling Up","HALLMARK_KRAS_SIGNALING_UP","Genes up-regulated by KRAS activation.",176,0.383108292113611,1.53428511400542,0.00146894357210117,0.00333850811841176,0.00105426572160371,1663,"tags=29%, list=15%, signal=25%",51,"SPP1/INHBA/ITGBL1/GPNMB/MMD/MAFB/IGFBP3/LY96/FCER1G/TMEM158/LAPTM5/ITGB2/MMP9/PLAU/CXCL10/TMEM176B/TMEM176A/MMP11/PRRX1/LIF/JUP/AMMECR1/ALDH1A3/SOX9/IL2RG/CTSS/TNFRSF1B/TNFAIP3/CXCR4/ADAMDEC1/DUSP6/PSMB8/CCL20/PTGS2/EMP1/IL10RA/PLAUR/GFPT2/C3AR1/MALL/CD37/RGS16/CCND2/EPHB2/CLEC4A/ADAM17/HSD11B1/NRP1/PTBP2/PECAM1/ENG","Activated in disease"
"Estrogen Response Late","HALLMARK_ESTROGEN_RESPONSE_LATE","Genes defining late response to estrogen.",181,-0.369484066242284,-1.5583703182041,0.00348989817295365,0.00758673515859488,0.00239581110271417,628,"tags=17%, list=6%, signal=16%",31,"UGDH/ISG20/HSPB8/ALDH3A2/PTGER3/TST/CDH1/SCNN1A/XBP1/BLVRB/CACNA2D2/TOB1/GALE/FOS/IDH2/AGR2/DCXR/SERPINA5/TPD52L1/SGK1/CXCL14/SCUBE2/HMGCS2/KLF4/HOMER2/GPER1/CKB/KLK11/LTF/CA2/TFF1","Suppressed in disease"
"Tnfa Signaling Via Nfkb","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Genes regulated by NF-kB in response to TNF [GeneID=7124].",181,0.36486742380304,1.47767255801909,0.0045279665027893,0.0094332635474777,0.00297892533078243,1715,"tags=28%, list=15%, signal=24%",51,"PMEPA1/INHBA/IER5/SERPINE1/PLAU/GEM/TGIF1/CXCL10/CEBPB/TNFAIP6/GCH1/CXCL1/TAP1/B4GALT5/PLK2/LIF/CD44/EFNA1/PTPRE/PHLDA2/PFKFB3/SPHK1/TNFAIP3/BHLHE40/DENND5A/PANX1/CCL20/NFIL3/TLR2/TRIP10/PTGS2/ACKR3/TNC/PLAUR/GFPT2/EGR2/SLC2A3/NFKBIE/ABCA1/IFNGR2/ETS2/EGR3/NAMPT/BIRC2/CCL4/TUBB2A/ATP2B1/CXCL3/CCL2/CXCL2/JAG1","Activated in disease"
"Il6 Jak Stat3 Signaling","HALLMARK_IL6_JAK_STAT3_SIGNALING","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",82,0.441462082193545,1.58739161124231,0.00620397458704421,0.0119621925116572,0.00377753447736544,1923,"tags=35%, list=17%, signal=30%",29,"PLA2G2A/CD9/CXCL9/CD14/CXCL10/CXCL1/A2M/OSMR/CD44/IFNGR1/STAT1/IL2RG/TNFRSF1B/CXCL13/HMOX1/CCR1/TLR2/IL13RA1/IL4R/TNFRSF12A/IFNGR2/STAT3/FAS/LTB/CXCL3/TGFB1/CD38/GRB2/IL17RB","Activated in disease"
"Heme Metabolism","HALLMARK_HEME_METABOLISM","Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.",180,-0.353472839271795,-1.51089403849881,0.0064595839562949,0.0119621925116572,0.00377753447736544,1871,"tags=25%, list=17%, signal=21%",45,"DMTN/TYR/ANK1/PPP2R5B/GATA1/CAT/HBQ1/EPB41/FBXO9/AQP3/SLC4A1/CLCN3/HEBP1/ALAS2/CTNS/HBBP1/SLC6A9/DCAF11/CCDC28A/OSBP2/RHD/TSPO2/MXI1/SMOX/IGSF3/EPOR/PC/ELL2/HBZ/NNT/ALAD/SLC7A11/BLVRB/BTG2/KAT2B/ATG4A/ASNS/RAP1GAP/SIDT2/SELENBP1/ALDH6A1/HBB/XK/CTSE/CA2","Suppressed in disease"
"Glycolysis","HALLMARK_GLYCOLYSIS","Genes encoding proteins involved in glycolysis and gluconeogenesis.",177,0.367149747837894,1.47345061161129,0.00633642980511689,0.0119621925116572,0.00377753447736544,1426,"tags=24%, list=13%, signal=22%",43,"CLDN3/VCAN/COL5A1/TGFBI/IGFBP3/CDK1/PFKP/LDHA/TPBG/GNE/KIF20A/MIF/PSMC4/TFF3/PKM/ENO1/CD44/SOX9/PPIA/PLOD1/CXCR4/STMN1/HOMER1/CHST1/GNPDA1/AURKA/PGK1/TXN/GPC3/HS2ST1/PAXIP1/IL13RA1/ENO2/HMMR/PLOD2/PYGB/G6PD/PRPS1/NASP/RRAGD/NT5E/KIF2A/RBCK1","Activated in disease"
"Tgf Beta Signaling","HALLMARK_TGF_BETA_SIGNALING","Genes up-regulated in response to TGFB1 [GeneID=7040].",50,0.465570608394264,1.53439918673539,0.0106058519931435,0.0189390214163277,0.0059807436051561,2290,"tags=34%, list=20%, signal=27%",17,"RAB31/PMEPA1/SERPINE1/TGIF1/SLC20A1/THBS1/ACVR1/CTNNB1/LTBP2/IFNGR2/WWTR1/HDAC1/ENG/TGFB1/FNTA/CDK9/ID2","Activated in disease"
"Il2 Stat5 Signaling","HALLMARK_IL2_STAT5_SIGNALING","Genes up-regulated by STAT5 in response to IL2 stimulation.",170,0.366421926392033,1.45940742448426,0.0112882513970538,0.0194625024087135,0.00614605339222532,2336,"tags=38%, list=21%, signal=30%",64,"SPP1/CCNE1/PLSCR1/CXCL10/IFITM3/HOPX/CAPG/CDC6/AHCY/LIF/CD44/AHR/GPX4/ECM1/IFNGR1/CD81/ODC1/PUS1/TNFRSF1B/BHLHE40/DENND5A/FGL2/NFIL3/ITGAV/EMP1/PLEC/IL10RA/ANXA4/IL4R/SLC2A3/PTRH2/RRAGD/MYO1E/PHTF2/PRNP/RGS16/NT5E/DCPS/NOP2/CCND2/GSTO1/SELL/NRP1/LTB/UMPS/TWSG1/CYFIP1/TGM2/BCL2L1/RNH1/SPRY4/SERPINB6/SWAP70/COCH/IGF2R/TNFSF10/SYNGR2/P4HA1/CTSZ/PENK/PLIN2/CD86/BATF3/PLAGL1","Activated in disease"
"Unfolded Protein Response","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","Genes up-regulated during unfolded protein response, a cellular stress response related to the endoplasmic reticulum.",98,0.389960403503153,1.45715587104246,0.0138726427242156,0.023121071207026,0.00730139090748188,3028,"tags=47%, list=27%, signal=35%",46,"CKS1B/CEBPB/BANF1/POP4/XPOT/IFIT1/YWHAZ/SHC1/ARFGAP1/DCP2/MTHFD2/EIF4A3/SEC11A/PAIP1/YIF1A/CEBPG/EIF4G1/RRP9/KIF5B/NPM1/EXOSC4/NOLC1/EXOSC10/NHP2/TUBB2A/DDX10/CCL2/CNOT6/EXOSC5/NFYB/HSPA5/NOP14/CALR/CNOT2/EXOSC2/VEGFA/FUS/LSM4/HSPA9/IMP3/HSP90B1/EIF2S1/FKBP14/NFYA/SDAD1/PARN","Activated in disease"
"Androgen Response","HALLMARK_ANDROGEN_RESPONSE","Genes defining response to androgens.",90,-0.395246609440397,-1.49876733548622,0.0183139302176685,0.0295385971252718,0.00932797803955953,1272,"tags=23%, list=11%, signal=21%",21,"TPD52/TSC22D1/LMAN1/GSR/UAP1/CDC14B/BMPR1B/ADAMTS1/SPDEF/CDK6/ELL2/INSIG1/ACSL3/GPD1L/DHCR24/IQGAP2/SGK1/HOMER2/TMPRSS2/HPGD/AZGP1","Suppressed in disease"
"Uv Response Dn","HALLMARK_UV_RESPONSE_DN","Genes down-regulated in response to ultraviolet (UV) radiation.",128,0.368518660837231,1.42555728298116,0.0241713983030368,0.037767809848495,0.0119266767942616,1232,"tags=17%, list=11%, signal=15%",22,"COL1A2/COL5A2/COL3A1/COL1A1/GJA1/SERPINE1/ANXA2/PDGFRB/RND3/SRI/FZD2/LAMC1/BHLHE40/SNAI2/LTBP1/EFEMP1/NEK7/ERBB2/ANXA4/PMP22/MTA1/INPP4B","Activated in disease"
